COR CODEX — Super Matrix (27 Systems),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE_SYSTEM,ENTRY,ALCHEMY,ARCHETYPES,COLORS,CRYSTALS,DEITIES,ELEMENTS,FREQUENCY,GEOMANCY,GEOMETRY,I_CHING,KABBALAH,LETTERS_HEBREW,LETTERS_LATIN,MAJOR_ARCANA,MAYAN,METALS,MINOR_ARCANA,NOTES,NUMBERS,PHYSIOLOGY,PLANETS,PLANTS,PLATONIC_SOLIDS,VICES,VIRTUES,ZODIAC,CHAKRAS
CRYSTALS,LAPIS,Dissolution; Distillation; Fermentation; Sublimation,The Healer; The Mystic; The Explorer; The King; The Sage; The Father; The Priest,Blue; Gold; Grey; Indigo; White,LAPIS,Kuan Yin [Other]; Gabriel [Angelic]; Aegir [Norse]; Zeus [Greek]; Vishnu [Hindu]; Zadkiel [Angelic]; Athena [Greek]; Thoth [Egyptian]; Raziel [Angelic]; Metatron [Angelic]; Hekate [Greek]; Cassiel [Angelic],Water; Air; Aether; Fire,"432 Hz — Harmony; 285 Hz — Transformation; 183.58 Hz — Jupiter; 852 Hz — Intuition; 8–13 Hz — Alpha (Relaxed Awareness); 741 Hz — Awakening; 4–8 Hz — Theta (Meditation, Dreams)",Albus — The White One; Via — The Path; Acquisitio — Gain; Laetitia — Joy; Tristitia — Sorrow,Circle; Sphere; Dodecagon; Line; Hexagram; Triangle,29 — Abyss (Kan); 59 — Dispersion (Huan); 11 — Peace (Tai); 14 — Possession (Da You); 55 — Abundance (Feng); 20 — Contemplation (Guan); 61 — Inner Truth (Zhong Fu); 52 — Keeping Still (Gen),Chesed (Mercy); Yesod (Foundation); Binah (Understanding); Hod (Glory); Tiferet (Beauty),Kaph; Yod; Lamed; Qoph,B; K; S; P; I,XVII — The Star; XIV — Temperance; X — Wheel of Fortune; IX — The Hermit; V — The Hierophant; II — The High Priestess,Muluk; Men; Cib; Ix,Silver; Tin; Lead; Mercury; Platinum,Queen of Cups; King of Cups; Ace of Cups; Ten of Pentacles; King of Pentacles; Ten of Cups; King of Swords; Queen of Swords; Four of Cups,G; F♯; B; A,4; 10; 9; 5; 7,Thyroid; Lungs; Respiratory system; Liver; Brain; Eyes; Mouth; Pineal; Pituitary,♃ Jupiter; ☽ Moon; ♄ Saturn; ☿ Mercury; ♆ Neptune,Blue Lotus; Water Lily; Willow; Oak; Cedar; Olive; Pomegranate; Sage; Mullein; Frankincense; Myrrh; Bay Laurel; Mugwort; Lavender,Icosahedron; Dodecahedron; Octahedron,"Dependence (Naïveté, Blind belief, Over-conformity); Frivolity (False optimism, Sentimentality); Dogmatism (Fanaticism); Avarice (Hoarding, Overproduction); Paralysis (Fear, Indecision)","Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust); Sovereignty (Authority, Nobility, Justice); Fertility (Abundance); Joy (Celebration, Radiance); Insight (Awareness, Light in darkness); Clarity (Illumination, Healing, Vision)",♓ Pisces; ♒ Aquarius; ♐ Sagittarius; ♍ Virgo; ♉ Taurus; ♑ Capricorn,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; AJNA-THIRD-EYE
CRYSTALS,LAPIS-LAZULI,Fermentation; Distillation; Sublimation,The King; The Sage; The Father; The Priest; The Mystic,Blue; Gold; Grey; Indigo; White,LAPIS-LAZULI,Zeus [Greek]; Vishnu [Hindu]; Zadkiel [Angelic]; Athena [Greek]; Thoth [Egyptian]; Raziel [Angelic]; Metatron [Angelic]; Hekate [Greek]; Cassiel [Angelic],Aether; Fire; Air; Water,"183.58 Hz — Jupiter; 852 Hz — Intuition; 8–13 Hz — Alpha (Relaxed Awareness); 741 Hz — Awakening; 4–8 Hz — Theta (Meditation, Dreams)",Acquisitio — Gain; Laetitia — Joy; Albus — The White One; Tristitia — Sorrow; Via — The Path,Dodecagon; Sphere; Line; Hexagram; Triangle,14 — Possession (Da You); 11 — Peace (Tai); 55 — Abundance (Feng); 20 — Contemplation (Guan); 61 — Inner Truth (Zhong Fu); 52 — Keeping Still (Gen),Chesed (Mercy); Binah (Understanding); Hod (Glory); Tiferet (Beauty); Yesod (Foundation),Kaph; Yod; Lamed; Qoph,K; S; P; I,X — Wheel of Fortune; IX — The Hermit; V — The Hierophant; II — The High Priestess,Men; Cib; Ix,Tin; Lead; Mercury; Platinum,Ten of Pentacles; King of Pentacles; Ten of Cups; King of Swords; King of Cups; Queen of Swords; Four of Cups,F♯; B; G; A,10; 9; 5; 7,Liver; Brain; Eyes; Thyroid; Mouth; Pineal; Pituitary,♃ Jupiter; ♄ Saturn; ☿ Mercury; ♆ Neptune,Oak; Cedar; Olive; Pomegranate; Sage; Mullein; Frankincense; Myrrh; Bay Laurel; Mugwort; Lavender; Blue Lotus,Dodecahedron; Octahedron,"Dogmatism (Fanaticism); Avarice (Hoarding, Overproduction); Paralysis (Fear, Indecision)","Sovereignty (Authority, Nobility, Justice); Fertility (Abundance); Joy (Celebration, Radiance); Insight (Awareness, Light in darkness); Clarity (Illumination, Healing, Vision); Devotion (Loyalty, Mercy, Compassion, Empathy)",♐ Sagittarius; ♓ Pisces; ♒ Aquarius; ♍ Virgo; ♉ Taurus; ♑ Capricorn,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; AJNA-THIRD-EYE
CRYSTALS,LARIMAR,Dissolution; Sublimation; Fermentation; Distillation,The Mystic; The Healer; The Prophet; The Lover; The Explorer,Violet; Indigo; Blue,LARIMAR,Poseidon [Greek]; Varuna [Hindu]; Neptune [Other]; Kuan Yin [Other]; Quan Yin [Other]; Gabriel [Angelic]; Aegir [Norse],Water; Aether; Air,211.44 Hz — Neptune; 183.58 Hz — Jupiter; 432 Hz — Harmony; 285 Hz — Transformation,Populus — The People; Via — The Path; Albus — The White One,Sphere; Flower of Life; Vesica Piscis; Circle,29 — Abyss (Kan); 59 — Dispersion (Huan); 61 — Inner Truth (Zhong Fu); 11 — Peace (Tai),Kether (Crown); Yesod (Foundation); Chesed (Mercy),Mem; Qoph; Kaph,M; P; B,XII — The Hanged Man; XVIII — The Moon; XVII — The Star; XIV — Temperance,Muluk; Akbal; Ix,Platinum; Tin; Silver,Seven of Cups; Queen of Cups; Eight of Cups; Nine of Cups; Ten of Cups; King of Cups; Ace of Cups,G♯; F♯; G,12; 4,Pineal; Lymphatic system; Immune system; Thyroid; Lungs; Respiratory system,♆ Neptune; ♃ Jupiter; ☽ Moon,Blue Lotus; Lotus; Water Lily; Ayahuasca; Seaweed; Willow,Icosahedron; Dodecahedron,"Delusion (Illusion, Confusion); Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity); Frivolity (False optimism, Sentimentality)","Insight (Awareness, Light in darkness); Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust)",♓ Pisces; ♒ Aquarius,AJNA-THIRD-EYE; CROWN-SAHASRARA
CRYSTALS,LEPIDOLITE,Sublimation,The Mystic; The Sage,Violet,LEPIDOLITE,Kuan Yin [Other]; Metatron [Angelic]; Isis [Egyptian],Aether; Water,963 Hz — Crown; 852 Hz — Intuition,Via — The Path; Populus — The People,Sri Yantra; Dodecagon,61 — Inner Truth (Zhong Fu); 50 — The Cauldron (Ding); 64 — Before Completion (Wei Ji),Kether (Crown); Yesod (Foundation),Shin,V,XVII — The Star; XXI — The World,Cauac,Platinum; Silver,Queen of Cups; King of Cups; Seven of Cups,A♯,12,Pineal; Pituitary; Nervous system,♆ Neptune; ♅ Uranus,Lavender; Lotus; Wormwood,Dodecahedron; Star Tetrahedron (Merkaba),"Delusion (Illusion, Confusion); Dependence (Naïveté, Blind belief, Over-conformity)","Clarity (Illumination, Healing, Vision); Renewal (Transformation, Resurrection)",♓ Pisces; ♒ Aquarius,AJNA-THIRD-EYE; CROWN-SAHASRARA
CRYSTALS,MALACHITE,Conjunction; Putrefactio; Mortificatio; Coagulation; Fermentation,The Lover; The Queen; The Mother; The Shadow; The Destroyer; The Mystic; The Healer,Emerald; Pink; Copper; Crimson; Black; Green,MALACHITE,Aphrodite [Greek]; Freya [Norse]; Freyja [Norse]; Inanna [Sumerian]; Ishtar [Sumerian]; Hathor [Egyptian]; Lakshmi [Hindu]; Haniel [Angelic]; Kuan Yin [Other]; Hades [Greek]; Pluto [Other]; Ereshkigal [Sumerian]; Kali [Hindu]; Samael [Angelic]; Demeter [Greek]; Gaia [Greek]; Freyr [Norse],Earth; Air; Water,221.23 Hz — Venus; 140.25 Hz — Pluto; 144.72 Hz — Mars; 639 Hz — Harmony/Connection; 528 Hz — Miracles; 417 Hz — Facilitation,Puella — The Maiden; Laetitia — Joy; Conjunctio — Union; Rubeus — The Red One; Cauda Draconis — Dragon’s Tail; Acquisitio — Gain,Hexagon; Vesica Piscis; Point; Octagon; Flower of Life; Circle,31 — Influence (Xian); 58 — The Joyful (Dui); 54 — Marrying Maiden (Gui Mei); 49 — Revolution (Ge); 29 — Abyss (Kan); 42 — Increase (Yi); 27 — Nourishment (Yi); 11 — Peace (Tai),Netzach (Victory); Geburah (Severity); Yesod (Foundation); Malkuth (Kingdom),Daleth; Nun,D; S; G; E; C,III — The Empress; VI — The Lovers; XIII — Death; XIV — Temperance,Lamat; Cimi; Etznab; Caban,Copper; Plutonium; Iron,Two of Cups; Queen of Cups; Queen of Pentacles; Five of Cups; Six of Cups; Seven of Cups; Ace of Pentacles; Six of Pentacles,A; C♯; D; F,6; 8,Reproductive system; Kidneys; Skin; Blood; Immune system; Heart; Lungs,♀ Venus; ♇ Pluto; ♂ Mars,Rose; Apple Blossom; Apple; Jasmine; Lily; Myrtle; Damiana; Ylang-ylang; Nightshade; Mandrake; Snake Root; Tobacco; Moss; Ivy; Basil; Olive; Patchouli,Hexahedron; Icosahedron,"Lust (Overindulgence, Hunger); Dependence (Naïveté, Blind belief, Over-conformity); Obsession (Attachment); Violence (Aggression, Destruction, Abuse); Self-sacrifice (The shadow of service/martyrdom); Frivolity (False optimism, Sentimentality); Avarice (Hoarding, Overproduction)","Fertility (Abundance); Beauty (Grace, Magnetism, Delight); Union (Synthesis); Renewal (Transformation, Resurrection); Energy (Intensity, Creativity, Imagination); Insight (Awareness, Light in darkness); Harmony (Alignment, Balance, Trust)",♉ Taurus; ♎ Libra; ♏ Scorpio,SACRAL-SVADHISTHANA; HEART-ANAHATA
CRYSTALS,METEORITE,Mortificatio; Putrefactio; Dissolution; Distillation; Sublimation,The Shadow; The Destroyer; The Outlaw; The Mystic; The Mother; The Innocent; The Explorer,Black; Silver; Blue; Indigo,METEORITE,Hades [Greek]; Anubis [Egyptian]; Ereshkigal [Sumerian]; Kronos [Greek]; Selene [Greek]; Artemis [Greek]; Chandra [Hindu]; Isis [Egyptian]; Hermes [Greek]; Heimdall [Norse]; Uriel [Angelic],Earth; Water; Air; Aether,"4–8 Hz — Theta (Meditation, Dreams); 396 Hz — Liberation; 210.42 Hz — Moon; 852 Hz — Intuition; 741 Hz — Awakening; 13–30 Hz — Beta (Active Thinking)",Carcer — The Prison; Cauda Draconis — Dragon’s Tail; Populus — The People; Via — The Path; Albus — The White One; Caput Draconis — Dragon’s Head,Cube; Point; Sphere; Circle; Line; Pentagon,23 — Splitting Apart (Bo); 29 — Abyss (Kan); 47 — Oppression (Kun); 02 — receptive (Kun); 61 — Inner Truth (Zhong Fu); 56 — The Wanderer (Lv); 53 — Development (Jian),Binah (Understanding); Malkuth (Kingdom); Yesod (Foundation); Chokmah (Wisdom); Netzach (Victory),Tav; Qoph; Gimel; Samekh,X; S; E,XV — The Devil; XIII — Death; XVIII — The Moon; II — The High Priestess; 0 — The Fool; XVII — The Star,Akbal; Cimi; Muluk; Eb,Lead; Plutonium; Silver; Mercury; Aluminum,Ten of Swords; Five of Cups; Eight of Swords; Four of Cups; Queen of Cups; Eight of Wands; Page of Wands,D♯; G♯; E,8; 2; 7,Bones; Blood; Adrenals; Kidneys; Lymphatic system; Reproductive system; Lungs; Nervous system,♄ Saturn; ♇ Pluto; ☽ Moon; ♅ Uranus; ☿ Mercury,Nightshade; Yew; Cypress; Mugwort; Willow; Water Lily; Artemisia; Juniper; Cedar,Hexahedron; Icosahedron; Dodecahedron,"Nihilism (Detachment); Obsession (Attachment); Violence (Aggression, Destruction, Abuse); Delusion (Illusion, Confusion); Dependence (Naïveté, Blind belief, Over-conformity); Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality)","Renewal (Transformation, Resurrection); Preservation (Survival, Resource awareness); Insight (Awareness, Light in darkness); Harmony (Alignment, Balance, Trust); Clarity (Illumination, Healing, Vision); Devotion (Loyalty, Mercy, Compassion, Empathy); Freedom (Aspiration, Release)",♑ Capricorn; ♏ Scorpio; ♋ Cancer; ♐ Sagittarius; ♒ Aquarius,ROOT-MULADHARA; THROAT-VISHUDDHA; AJNA-THIRD-EYE
CRYSTALS,MOLDAVITE,Putrefactio; Mortificatio; Sublimation; Coagulation; Fermentation,The Destroyer; The Shadow; The Healer; The Mystic; The Explorer; The Prophet; The Mother,Black; Crimson; Violet; White; Blue; Indigo; Green,MOLDAVITE,Pluto [Other]; Hades [Greek]; Ereshkigal [Sumerian]; Anubis [Egyptian]; Mictlantecuhtli [Aztec/Mayan]; Kali [Hindu]; Samael [Angelic]; Metatron [Angelic]; Urania [Other]; Thoth [Egyptian]; Hekate [Greek]; Hermes [Greek]; Heimdall [Norse]; Uriel [Angelic]; Demeter [Greek]; Gaia [Greek]; Freyr [Norse],Water; Earth; Aether; Air,140.25 Hz — Pluto; 144.72 Hz — Mars; 963 Hz — Crown; 285 Hz — Transformation; 741 Hz — Awakening; 13–30 Hz — Beta (Active Thinking); 639 Hz — Harmony/Connection; 528 Hz — Miracles,Cauda Draconis — Dragon’s Tail; Rubeus — The Red One; Fortuna Minor — Lesser Fortune; Caput Draconis — Dragon’s Head; Via — The Path; Acquisitio — Gain; Puella — The Maiden,Point; Metatron's Cube; Octagon; Sphere; Line; Pentagon; Hexagon; Vesica Piscis,23 — Splitting Apart (Bo); 43 — Breakthrough (Guai); 64 — Before Completion (Wei Ji); 49 — Revolution (Ge); 29 — Abyss (Kan); 46 — Pushing Upward (Sheng); 20 — Contemplation (Guan); 18 — Work on What is Corrupt (Gu); 48 — The Well (Jing); 56 — The Wanderer (Lv); 53 — Development (Jian); 42 — Increase (Yi); 27 — Nourishment (Yi); 11 — Peace (Tai),Malkuth (Kingdom); Geburah (Severity); Yesod (Foundation); Kether (Crown); Binah (Understanding); Chokmah (Wisdom); Netzach (Victory),Nun; Heh; Qoph; Samekh; Daleth,N; S; U; P; E; G,XIII — Death; XVII — The Star; XX — Judgement; XV — The Devil; 0 — The Fool; III — The Empress; XIV — Temperance,Cimi; Etznab; Men; Akbal; Eb; Caban,Plutonium; Iron; Aluminum; Mercury; Copper,Ten of Swords; Five of Cups; Six of Cups; Seven of Cups; Eight of Wands; Page of Swords; Five of Pentacles; Eight of Cups; Page of Wands; Ace of Pentacles; Queen of Pentacles; Six of Pentacles,C♯; D; B; E; F,13; 8; 10; 7; 6,Reproductive system; Blood; Immune system; Pineal; Spine; Digestive system; Lungs; Nervous system; Heart,♇ Pluto; ♂ Mars; ♅ Uranus; ☿ Mercury; ♀ Venus,Mandrake; Nightshade; Poppy; Wormwood; Snake Root; Tobacco; Frankincense; Mullein; Heliotrope; Myrrh; Moss; Artemisia; Juniper; Cedar; Ivy; Basil; Apple,Star Tetrahedron (Merkaba); Icosahedron; Dodecahedron; Hexahedron,"Obsession (Attachment); Nihilism (Detachment); Violence (Aggression, Destruction, Abuse); Lust (Overindulgence, Hunger); Aimlessness (False starts, Disarray); Chaos (Disorder, Disarray); Delusion (Illusion, Confusion); Frivolity (False optimism, Sentimentality); Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity)","Renewal (Transformation, Resurrection); Initiation (New life, Threshold); Energy (Intensity, Creativity, Imagination); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Harmony (Alignment, Balance, Trust); Fertility (Abundance)",♏ Scorpio; ♒ Aquarius; ♐ Sagittarius; ♉ Taurus,ROOT-MULADHARA; SACRAL-SVADHISTHANA; HEART-ANAHATA
CRYSTALS,MOONSTONE,Dissolution; Sublimation; Fermentation; Conjunction; Coagulation; Distillation,The Mother; The Mystic; The Healer; The Prophet; The Lover; The Innocent,Silver; White; Violet; Indigo; Blue; Yellow; Green; Pink,MOONSTONE,Selene [Greek]; Artemis [Greek]; Chandra [Hindu]; Ixchel [Other]; Poseidon [Greek]; Varuna [Hindu]; Neptune [Other]; Kuan Yin [Other]; Isis [Egyptian]; Gabriel [Angelic]; Yemaya [Other]; Quan Yin [Other]; Chalchiuhtlicue [Other]; Christos [Other]; Hecate [Other]; Demeter [Greek]; Gaia [Greek],Water; Aether; Earth,"210.42 Hz — Moon; 211.44 Hz — Neptune; 183.58 Hz — Jupiter; 417 Hz — Facilitation; 174 Hz — Foundation; 528 Hz — Miracles; 963 Hz — Crown; 4–8 Hz — Theta (Meditation, Dreams); 639 Hz — Harmony/Connection; 852 Hz — Intuition",Via — The Path; Populus — The People; Fortuna Minor — Lesser Fortune; Puella — The Maiden; Albus — The White One,Vesica Piscis; Sphere; Flower of Life; Circle; Point; Sri Yantra,02 — receptive (Kun); 29 — Abyss (Kan); 59 — Dispersion (Huan); 61 — Inner Truth (Zhong Fu); 08 — Holding Together (Bi); 25 — Innocence (Wu Wang); 24 — Return (Fu); 37 — Family (Jia Ren),Yesod (Foundation); Kether (Crown); Chesed (Mercy); Binah (Understanding),Qoph; Mem; Cheth; Aleph; Gimel; Daleth,Q; M; C; P; D; A; S,XVIII — The Moon; XII — The Hanged Man; VII — The Chariot; 0 — The Fool; III — The Empress; II — The High Priestess,Akbal; Muluk; Ix; Imix,Silver; Platinum; Tin; Copper,Queen of Cups; Four of Cups; Seven of Cups; Two of Cups; Three of Cups; Eight of Cups; Nine of Cups; Ten of Cups; Ace of Cups; Page of Cups; Queen of Pentacles,G♯; F♯; C; A,2; 12; 4; 0; 3,Stomach; Reproductive system; Blood; Pineal; Lymphatic system; Immune system; Chest; Kidneys; Heart; Pituitary,☽ Moon; ♆ Neptune; ♃ Jupiter; ♀ Venus,Mugwort; Willow; Water Lily; Lotus; Blue Lotus; Ayahuasca; Seaweed; Chamomile; Lily; Rose; Apple,Icosahedron; Dodecahedron,"Delusion (Illusion, Confusion); Repetition (Stagnation, Inertia); Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity)","Devotion (Loyalty, Mercy, Compassion, Empathy); Insight (Awareness, Light in darkness); Harmony (Alignment, Balance, Trust); Renewal (Transformation, Resurrection); Freedom (Aspiration, Release); Initiation (New life, Threshold); Clarity (Illumination, Healing, Vision); Fertility (Abundance)",♋ Cancer; ♓ Pisces; ♉ Taurus,HEART-ANAHATA; AJNA-THIRD-EYE; CROWN-SAHASRARA
CRYSTALS,MOSS-AGATE,Distillation; Coagulation; Fermentation,The Healer; The Sage; The Priest; The Mother,Grey; Green,MOSS-AGATE,Astraea [Greek]; Demeter [Greek]; Athena [Greek]; Saraswati [Hindu]; Gaia [Greek]; Freyr [Norse],Earth; Water,141.27 Hz — Mercury; 639 Hz — Harmony/Connection; 528 Hz — Miracles,Albus — The White One; Acquisitio — Gain; Puella — The Maiden,Hexagon; Line; Vesica Piscis,15 — Modesty (Qian); 48 — The Well (Jing); 42 — Increase (Yi); 27 — Nourishment (Yi); 11 — Peace (Tai),Hod (Glory); Malkuth (Kingdom); Netzach (Victory),Yod; Daleth,V; G,IX — The Hermit; III — The Empress; XIV — Temperance,Eb; Caban,Mercury; Copper,Eight of Pentacles; Nine of Pentacles; Ten of Pentacles; Ace of Pentacles; Queen of Pentacles; Six of Pentacles,C♯; F,6,Digestive system; Stomach; Pancreas; Heart; Lungs; Immune system,☿ Mercury; ♀ Venus,Barley; Grain; Wheat; Sage; Moss; Ivy; Basil; Apple,Hexahedron,"Paralysis (Fear, Indecision); Dogmatism (Fanaticism); Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity)","Clarity (Illumination, Healing, Vision); Preservation (Survival, Resource awareness); Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust); Fertility (Abundance)",♍ Virgo; ♉ Taurus,SACRAL-SVADHISTHANA; HEART-ANAHATA
CRYSTALS,OBSIDIAN,Mortificatio; Putrefactio; Separation; Calcination; Rubedo,The Sage; The Father; The Destroyer; The Shadow; The Healer; The Mystic; The Priest; The Outlaw,Black; Grey; Crimson; Copper; Red,OBSIDIAN,Kronos [Greek]; Cassiel [Angelic]; Shani [Other]; Pluto [Other]; Hades [Greek]; Ereshkigal [Sumerian]; Anubis [Egyptian]; Mictlantecuhtli [Aztec/Mayan]; Kali [Hindu]; Samael [Angelic]; Archangel Azrael [Other]; Hekate [Greek]; Hecate [Other]; Loki [Norse]; Set [Other]; Eris [Greek]; Sekhmet [Egyptian]; Shiva [Hindu]; Ishtar [Sumerian],Earth; Water; Fire; Air,"147.85 Hz — Saturn; 140.25 Hz — Pluto; 144.72 Hz — Mars; 285 Hz — Transformation; 4–8 Hz — Theta (Meditation, Dreams); 396 Hz — Liberation; 417 Hz — Facilitation",Carcer — The Prison; Tristitia — Sorrow; Cauda Draconis — Dragon’s Tail; Rubeus — The Red One,Cube; Point; Metatron's Cube; Octagon; Square; Sphere; Line; Triangle,52 — Keeping Still (Gen); 12 — Standstill (Pi); 23 — Splitting Apart (Bo); 43 — Breakthrough (Guai); 64 — Before Completion (Wei Ji); 49 — Revolution (Ge); 29 — Abyss (Kan); 47 — Oppression (Kun); 18 — Work on What is Corrupt (Gu); 48 — The Well (Jing); 36 — Darkening Light (Ming Yi); 51 — Aroused (Zhen),Binah (Understanding); Malkuth (Kingdom); Geburah (Severity); Yesod (Foundation),Tav; Nun; Qoph; Zayin; Shin,T; N; S; M; P; X; O; D; C,XXI — The World; XIII — Death; XII — The Hanged Man; XV — The Devil; XVIII — The Moon; XVI — The Tower,Caban; Cimi; Etznab; Akbal; Chicchan,Lead; Plutonium; Iron,Four of Pentacles; Five of Pentacles; Ten of Swords; Five of Cups; Six of Cups; Seven of Cups; Eight of Cups; Eight of Swords; Five of Swords; Seven of Swords; Five of Wands; Knight of Wands,D; C♯; D♯,8; 13; 9; 10,Bones; Skeletal system; Spine; Skin; Reproductive system; Blood; Immune system; Digestive system; Nervous system; Muscles; Adrenals,♄ Saturn; ♇ Pluto; ♂ Mars; ♅ Uranus,Cypress; Yew; Mandrake; Nightshade; Poppy; Wormwood; Snake Root; Tobacco; Myrrh; Moss; Pomegranate; Dog Rose,Hexahedron; Star Tetrahedron (Merkaba); Icosahedron; Octahedron; Tetrahedron,"Repetition (Stagnation, Inertia); Nihilism (Detachment); Obsession (Attachment); Violence (Aggression, Destruction, Abuse); Lust (Overindulgence, Hunger); Self-sacrifice (The shadow of service/martyrdom); Chaos (Disorder, Disarray); Delusion (Illusion, Confusion)","Preservation (Survival, Resource awareness); Clarity (Illumination, Healing, Vision); Renewal (Transformation, Resurrection); Initiation (New life, Threshold); Energy (Intensity, Creativity, Imagination); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Devotion (Loyalty, Mercy, Compassion, Empathy); Will (Drive, Resolve, Bravery)",♑ Capricorn; ♒ Aquarius; ♏ Scorpio; ♈ Aries,ROOT-MULADHARA
CRYSTALS,ONYX,Separation; Distillation; Mortificatio; Sublimation; Putrefactio,The Sage; The Shadow; The Father; The Destroyer; The King; The Priest; The Outlaw,Grey; Black; Crimson,ONYX,Cassiel [Angelic]; Ma’at [Other]; Athena [Greek]; Kronos [Greek]; Shani [Other]; Hades [Greek]; Hecate [Other]; Pluto [Other]; Anubis [Egyptian]; Ereshkigal [Sumerian],Earth; Air; Water,"8–13 Hz — Alpha (Relaxed Awareness); 147.85 Hz — Saturn; 4–8 Hz — Theta (Meditation, Dreams); 396 Hz — Liberation",Carcer — The Prison; Albus — The White One; Tristitia — Sorrow; Cauda Draconis — Dragon’s Tail; Rubeus — The Red One,Square; Line; Cube; Point,52 — Keeping Still (Gen); 12 — Standstill (Pi); 20 — Contemplation (Guan); 23 — Splitting Apart (Bo); 33 — Retreat (Dun); 36 — Darkening Light (Ming Yi); 29 — Abyss (Kan); 47 — Oppression (Kun),Binah (Understanding); Hod (Glory); Malkuth (Kingdom); Yesod (Foundation),Tav; Bet; Ayin; Qoph,H; T; C; X,IX — The Hermit; XII — The Hanged Man; XXI — The World; XV — The Devil; XVIII — The Moon; XIII — Death,Etznab; Cib; Caban; Akbal; Cimi,Lead; Mercury; Aluminum; Plutonium,Four of Swords; Eight of Swords; King of Swords; Four of Pentacles; Five of Pentacles; Two of Pentacles; Three of Pentacles; Five of Cups; Ten of Swords,F♯; D; D♯,8; 10,Skeletal system; Nervous system; Skin; Bones; Spine; Blood; Adrenals,♄ Saturn; ☿ Mercury; ♇ Pluto,Ash; Moss; Mullein; Cypress; Yew; Mandrake; Pine; Nightshade,Hexahedron; Octahedron,"Repetition (Stagnation, Inertia); Paralysis (Fear, Indecision); Nihilism (Detachment); Avarice (Hoarding, Overproduction); Domination (Harshness); Obsession (Attachment); Delusion (Illusion, Confusion); Violence (Aggression, Destruction, Abuse)","Preservation (Survival, Resource awareness); Clarity (Illumination, Healing, Vision); Sovereignty (Authority, Nobility, Justice); Will (Drive, Resolve, Bravery); Insight (Awareness, Light in darkness); Renewal (Transformation, Resurrection)",♑ Capricorn; ♒ Aquarius; ♏ Scorpio,ROOT-MULADHARA
CRYSTALS,OPAL,Conjunction,The Lover; The Queen; The Priest; The Mother,Pink; Emerald,OPAL,Astraea [Greek]; Ma’at [Other]; Aphrodite [Greek]; Haniel [Angelic]; Hathor [Egyptian]; Lakshmi [Hindu]; Kuan Yin [Other],Air; Water; Earth,221.23 Hz — Venus; 639 Hz — Harmony/Connection,Puella — The Maiden; Conjunctio — Union; Laetitia — Joy,Line; Hexagon; Vesica Piscis; Circle,11 — Peace (Tai); 61 — Inner Truth (Zhong Fu); 31 — Influence (Xian); 54 — Marrying Maiden (Gui Mei); 58 — The Joyful (Dui),Netzach (Victory); Yesod (Foundation),Lamed; Daleth; Gimel,L; P,XI — Justice; VI — The Lovers; III — The Empress,Lamat,Copper; Silver,Two of Swords; Three of Swords; Four of Swords; Two of Cups; Queen of Cups,A,7; 6,Kidneys; Skin; Endocrine system; Heart; Reproductive system,♀ Venus; ☽ Moon,Rose; Lily; Linden; Jasmine; Vanilla; Apple Blossom; Ylang-ylang,Octahedron; Icosahedron; Hexahedron,"Dependence (Naïveté, Blind belief, Over-conformity); Frivolity (False optimism, Sentimentality); Lust (Overindulgence, Hunger)","Harmony (Alignment, Balance, Trust); Beauty (Grace, Magnetism, Delight); Union (Synthesis); Devotion (Loyalty, Mercy, Compassion, Empathy)",♎ Libra; ♉ Taurus,SACRAL-SVADHISTHANA; HEART-ANAHATA
